time,open,high,low,close,Volume
1486093500,361.66666667,400.0,355.03333333,356.4,47315280
1486352700,360.33333333,362.6,341.03333333,343.06666667,6598800
1486439100,343.33333333,345.31666667,333.76666667,335.6,3882438
1486525500,337.66666667,344.95,332.90000333,340.86666667,3561348
1486611900,341.66666667,342.9,335.71666667,336.68333333,1400052
1486698300,338.26666667,341.33333333,334.33333333,335.0,1262607
1486957500,336.33333333,336.81666667,332.83333333,333.93333333,1511583
1487043900,334.96666667,339.66666667,332.66666667,334.66666667,1538679
1487130300,334.0,336.63333333,325.90000333,327.23333667,1333395
1487216700,327.66666667,329.06667,320.33333333,321.30000667,1170528
1487303100,323.66666667,326.0,321.33333333,322.40000333,760695
1487562300,322.40000333,325.46667333,321.03332667,323.71667333,598827
1487648700,325.0,331.63334,323.90000333,328.08333333,1001841
1487735100,327.33333333,328.88334,323.76666333,324.75,408222
1487821500,324.93333,325.58333333,321.66666667,321.96667333,360225
1488167100,320.66666667,322.91666667,317.46667333,318.03332667,620754
1488253500,318.34999667,321.63334,314.0,315.65000333,634656
1488339900,315.0,318.0,310.66666667,311.36666,728583
1488426300,312.86666,314.16666667,305.0,305.73333667,899457
1488512700,305.0,305.63334,295.5,296.90000333,2516490
1488771900,296.66666667,318.25,296.66666667,315.73333667,3721275
1488858300,318.0,321.59999667,312.03332667,312.90000333,1410528
1488944700,313.30000667,314.5,306.98333667,307.94999333,579231
1489031100,307.94999333,320.33333333,305.78332667,314.98333667,2215683
1489117500,316.66666667,318.30000667,310.86666,312.19999333,581853
1489463100,318.33333333,320.0,313.33333333,314.98333667,681813
1489549500,315.44999333,320.55000667,313.36666,315.11666,872238
1489635900,316.65000333,317.43333,314.33333333,315.08333333,382401
1489722300,315.40000333,319.53332667,313.80000667,314.63334,943929
1489981500,316.66666667,316.66666667,311.66666667,312.78332667,348168
1490067900,313.80000667,315.66666667,312.0,312.93333,633309
1490154300,313.33333333,313.33333333,310.33333333,311.46667333,380574
1490240700,312.73333667,314.06667,310.91666667,312.53332667,392298
1490327100,313.19999333,317.76666333,312.0,315.01666333,911808
1490586300,315.21667333,316.0,311.38334,311.91666667,394650
1490672700,312.96667333,314.65000333,312.06667,313.08333333,276681
1490759100,313.21667333,324.0,312.33333333,317.11666,1497897
1490845500,319.34999667,323.68333,318.34999667,322.23333667,873000
1490931900,322.59999667,327.0,321.68333,325.88334,830304
1491191100,328.0,329.23333667,325.03332667,325.81667,388749
1491363900,328.59999667,330.33333333,326.0,326.46667333,464571
1491450300,326.66666667,326.96667333,322.69999333,323.59999667,214923
1491536700,323.33333333,334.8,322.0,330.65000333,775590
1491795900,331.66666667,344.98333333,331.66666667,343.36666667,1598616
1491882300,345.0,350.33333333,339.35,347.88333333,1029114
1491968700,348.66666667,351.6,341.7,349.23333333,840570
1492055100,346.66666667,350.0,342.0,343.2,423201
1492400700,341.66666667,342.98333333,336.0,337.15,438114
1492487100,339.66666667,339.66666667,332.11666,332.58333333,304371
1492573500,334.66666667,338.0,329.33333333,333.43333333,389067
1492659900,335.23333333,339.2,333.36666667,336.96666667,266802
1492746300,337.06666667,339.21666667,334.35,336.8,270933
1493005500,337.0,338.35,335.21666667,336.58333333,573987
1493091900,337.33333333,338.1,333.35,335.06666667,273552
1493178300,336.66666667,339.0,334.5,336.51666667,381597
1493264700,336.66666667,337.33333333,335.15,335.93333333,174531
1493351100,337.0,338.33333333,332.28332667,334.81666667,180780
1493696700,335.26666667,340.66666667,334.0,334.75,319686
1493783100,335.36666667,336.5,332.66666667,334.25,256962
1493869500,334.66666667,336.66666667,332.66666667,333.71666667,209205
1493955900,335.33333333,336.75,330.0,331.69999333,924774
1494215100,334.0,337.98333333,334.0,335.43333333,570552
1494301500,336.33333333,336.33333333,330.41666667,331.56667,162804
1494387900,335.33333333,336.3,331.66666667,332.36666,159759
1494474300,334.33333333,334.58333333,332.33333333,333.31667,540183
1494560700,333.5,334.93333333,326.0,327.26666333,359130
1494819900,328.40000333,333.9,328.40000333,332.66666667,193620
1494906300,334.06666667,363.13333333,334.01666667,352.98333333,3478038
1494992700,353.26666667,361.5,352.5,357.13333333,948864
1495079100,353.86666667,362.66666667,350.33333333,360.2,925086
1495165500,361.66666667,366.63333333,353.66666667,357.76666667,550878
1495424700,359.66666667,361.0,355.33333333,355.68333333,242208
1495511100,355.0,358.0,343.7,351.68333333,552240
1495597500,352.56666667,354.9,348.58333333,351.91666667,932703
1495683900,351.91666667,353.66666667,345.66666667,347.55,385638
1495770300,345.83333333,353.66666667,345.83333333,351.41666667,604314
1496029500,350.33333333,360.66666667,350.0,355.88333333,360378
1496115900,354.83333333,358.31666667,351.33333333,354.98333333,179373
1496202300,355.0,366.66666667,354.98333333,364.46666667,940320
1496288700,365.08333333,368.41666667,360.41666667,363.36666667,346197
1496375100,363.33333333,371.33333333,361.66666667,369.05,632751
1496634300,369.83333333,378.33333333,369.33333333,377.18333333,573195
1496720700,376.66666667,378.28333333,367.21666667,368.11666667,205374
1496807100,369.0,371.66666667,365.0,367.15,161073
